Sun,1.99E+30,0,0,0,0,695700,y
Mercury,3.30E+23,57900000000,0,0,47400,4879,r
Venus,4.89E+24,1.08E+11,0,0,35000,12104,r
Earth,5.97E+24,1.50E+11,0,0,29800,12756,r
Mars,6.42E+23,2.28E+11,0,0,24100,6792,r
